,text,label,hashtags
0,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters?,1,RefugeesNotWelcome
1,More migrants take sea route to Spain than Italy this year: UN,0,Spain
2,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking.",1,YesAllMen
3,"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash",1,"BuildTheWall,NoAmnesty,NoDACA,DeportThemAll,KeepAmericaSafe"
4,"Federal judge to Trump: ""imminent danger"" of ""irreparable injury to refugees, visa-holders"", etc. @user",0,"Trump:,refugees,"
5,This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship.,1,"getalife,stopspreadinglies,hoe"
6,Kevin Rosero of the Latino Immigrant Experience Oral History Project NJHRIC NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:,0,"NJHRIC,NewarkPublicLibrary"
7,The Truth about,0,Immigration
8,@user @user Must Make Illegal Immigration and Over Stays a Felon Pass Mandatory E-Verify for Jobs and Welfare,1,"Immigration,Jobs,Trump,MAGA,RedNationRising"
9,"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 ResistICENashville photo: Julie Henry",0,ResistICENashville
10,"@user RT @user Don't betray Your Voters on Immigration. Americans, WeThePeople, & the USA reject DACA, Amnesty, the DreamAct, & all illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & DACA immigr",1,"Voters,Immigration.,Americans,,WeThePeople,,USA,DACA,,Amnesty,,DreamAct,,illegal,DACA"
11,FactCheck 👍 BoycottUnitedArlines AidingAndAbetting Felons WeThePeople are FED UP,0,"FactCheck,BoycottUnitedArlines,AidingAndAbetting,Felons,WeThePeople,EnoughIsEnough,ICE,DHS,DOJ,WakeUpAmerica,StopTheInvasion"
12,"NRC Assam Govt must initiate immediate action 2 cancel Voting id cards & Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length & as loud as they can Nation must remain firm on its security concerns",0,NRC
13,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our",1,"democracy.MAGA,KAG,POTUS,Tr"
14,"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....sendthemback it's not late to save Europe",1,too....sendthemback
15,"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate.",0,SourcesMatter
16,And now another flood of immigrants coming our,1,way.BuildThatWall
17,Nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag.,1,WakeUpYouWhore
18,"OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder & executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either.",0,"OccupyICEPHL,NationalistsNotWelcome"
19,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing Italy EU, which has leverage bt lacks courage to use it. Salvini must send messageðŸ‘‰either stop boats & take back citizens or we bury you economically, esp. leaders",0,"Italy,Salvini"
20,@user Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws.,1,"BuildThatWall,kag"
21,"Absolutely perfect keep the whole lot of Illegal Aliens out, now maybe libtarded snowflakes will be happy they are not being split up?",1,"maga,kag,nodaca,noamnesty,BuildThatWall,BuildTheWallNow,BuildTheDamnWall,BuildTheWall"
22,Turkish government must immediately take precautions to protect it's borders and find solution for the trouble in Syria or else Turkey will be a refugee storage in the near future and this is a big threat for our survival,1,nomorerefugees
23,"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but Dems wont enforce it ! That is why 73% of Mexican and Central Amer",0,Dems
24,How much is John McCains funeral costing tax payers? Not including his no vote to scrap Obamacare. Next time use our hard earned money for something useful like building the,1,"wall!!BuildThatWallMcCainFuneral,Baloney"
25,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains?,1,womenaredumb..
26,"Was a legal Resident until she was Convicted of Shoplifting Deported then Came Back Illegally Now She wants U,S Taxpayers to pay her Medical Bills SendHerBack let her family go with her !",1,"SendHerBack,Immigration"
27,"@user @user in an interview with @user Trump doesn't need Congress to Build The Wall.We are being invaded by a foreign country; defending our Borders is the 1 job of the Commander-In-Chief, use DOD funds.""PLEASE @user",1,1
28,@user @user We need to keep saying it until its built!,1,BuildThatWall
29,ICE: 124 illegal immigrants released from jail later charged in 138 murder cases BuildTheWall EnforceUSLawsKeepAmericansSafeThis is all the Congress should be,1,"BuildTheWall,EnforceUSLawsKeepAmericansSafeThis,comtemplating!BanSanctuaryCities,NoAmnesty,NoDACADeal,EndChainMigration,Deport"
30,information_warfare,0,information_warfare
31,Here comes the results of socialism. To all Liberals who want communism; here comes your new roomies.,1,BuildThatWall
32,And why should he now buckle to their demands that he swear undying trust for these A******* ????? THEY are the enemy of this nation!,0,Treason
33,"@user Families should not bring their kids into a country illegally, would you? We can’t afford them",1,sendthemhome
34,FactCheck true,0,"FactCheck,WakeUpAmerica,LeftistSedition,DemocratsHateAmerica,OpenYourEyes,FreeYourMind,BuildTheWall,StopTheInvasion"
35,Youth Care Worker Accused of Sexually Abusing Immigrant Boys -,0,"Care,Immigrant,PrescientInfo"
36,"Hmm... Someone named ""Garcia"" wants to eliminate the US/Mexico border. Imagine my surprise.What's it called when a foreign agent enters your country & sabotages your BorderSecurity for the benefit of their own",1,"BorderSecurity,country?StopTheInvasion,SecureTheBorder,BuildTheWall,NoIllegals"
37,American FamiliesBelongTogether but the Democrat Socialist Party Keeps allowing Illegals to Kill them FamiliesBelongTogetherMarch AmericansFirst Not Illegals Breaking Inmigration laws,1,"FamiliesBelongTogether,Democrat,FamiliesBelongTogetherMarch,AmericansFirst,Inmigration"
38,Thousands march in Munich to show support for migrants,0,Munich
39,@user : Vogue hijabi cover star on growing up in a refugee camp via @user WithRefugees WorldRefugeeDay @user @user @user @user,0,"refugee,WithRefugees,WorldRefugeeDay"
40,"* Croatia ðŸ‡­ðŸ‡·: Last Wednesday, illegal migrants from Iran were detained in a neighborhood near ZapreÅ¡iÄ‡.",1,"v4,visegrad"
41,"Alabama: Illegals Force 13-Year-Old Girl to Watch Murder of her Grandmother, Then Behead",1,"GirlIllegalAliens,Alabama,Animals,KAGRollTide,WalkAway,LockThemAllUp,SendThemBack,BuildTheWall,MAGA,Trump,Trump2020,QResearch,PatriotsFight,RedPill"
42,"Like if you didnt want to have a party, don't fucking broadcast it",1,"ThatsTheShitIDontLike,WomenSuck"
43,"⁦@RepMcClintock⁩ has voted to destroy the ACA more times than I can count. Don’t give him another opportunity. Choose to support healthcare, science, immigrant rights, civil rights & social justice. Choose ⁦@Morse4America⁩",0,"ACA,TeamMorse"
44,@user Wake Up & Prepare to Stop the Evil Dead in it's Tracks!,1,"SendThemBack,DeportTheUndesirables,KickOutTheLyers,SaveTheWorldUnderTheOneTrueGod"
45,Imagine when all the EU migrants go home after Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti.,1,Brexit.
46,"An undercount would allow the federal government to direct resources away from California, which has the largest immigrant population in the country. Census takers could miss counting millions of Californians, researchers say",0,"immigrant,Census,Californians,"
47,I cannot stand girls that ALWAYS have to have a boyfriend.,1,"AttentionWhores,WomenSuck"
48,ACTNOW! USA EB5 EB5Visa Immigrant Foreign Investor Visa Program Laws ARE Changing! $500k Investment. Payment plans available. Use bitcoin ether cryptocurrency. Become a US Citizen! Visit us at Contact us TODAY at gbibuildingco@outlook.com. RT,0,"ACTNOW!,USA,EB5,EB5Visa,Immigrant,Foreign,Investor,Visa,Investment.,bitcoin,ether,cryptocurrency."
49,FactCheck wow,1,"FactCheck,FactsMatter,VoteDemsOut,RedWaveRising2018,StopTheInvasion,BuildTheWall,DeportThemAll,EndSanctuaryCities,TakeAmericaBack,WalkAwayMovementGrowing,MAGA"
50,"Obama, our SMALLEST president. Must take credit for all good; disavows all that was bad during his 8 year assault on our great",1,"country.MAGA,KAG,POTUS,Trump,NEWS,VoteRed,NoDACA,WalkAway,AmericaFirst,USA,BackTheBlue,AllLivesMatter,LiberalismIsAMentalDisorder,NRA"
51,Rohingya refugees move to higher ground to avert loss of lives in the upcoming monsoon season ucanews voiceforthevoiceless refugee Bangladesh @user @user @user @user @user,0,"Rohingya,ucanews,voiceforthevoiceless,refugee,Bangladesh"
52,TeenWolf menstruafacts Question of the Day: When does a feminist forget feminism? Answer: When the restaurant check hits the table.,1,"TeenWolf,menstruafacts,feminist"
53,"act4_southernsyria Apparently secret meeting this week bet angelamerkel @user &Russia fm Lavrov&headRussian army- Europe will come in&help rebuild Syria ,which Russia wants -sothat what Europe wants most can materialize ‘“ returnof refugees -German journo",0,"act4_southernsyria,angelamerkel,Europe,Syria,refugees,datelinelondon"
54,"I am an immigrant. I live with my child. I am a 29 year old female. I earned $13,000 last year. I work 40 hours per week. I have a Bachelor's degree in accounting. I live in MI cc'Rep. John Moolenaar.",0,ImmigrantsAreUS
55,"Africans having their say about Blacks in Europe, and Europeans in Africa, at the LandExpropriationHearings, currently underway in",1,"LandExpropriationHearings,,SouthAfrica.,SendThemBack"
56,Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c Trump is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st,1,"Trump,placePOTUS,MAGA,DrainTheSwamp,VoteRed,NEWS,NoDACA,KAG,GetOutTheVote,BuildTheWall"
57,Illegal immigrant who killed Kate Steinle likely will be sentenced to time served,1,"PreventableDeathBuildTheWall,StopTheInvasion,TherIsMoreOfThemOutThere"
58,The commonweath of VA welcomes all immigrants to its benefit and theirs @user,0,commonweath
59,@user @user AtlantaHitRockBottoms This FOOL is promoting lawlessness from illegals and wants to turn ATL into a 3rd world city like Chicago and LA. We are better than this brainless idiot!,1,"AtlantaHitRockBottoms,ImpeachBottoms,BuildThatWall"
60,I'd say electrify the water but that would kill wildlife.,1,SendThemBack
61,"Trump's border wall, immigration plans re-emerge at top of national debate",0,StopTheInvasion
62,"@user NoDACA TuesdayThoughtsObama Used Dreamer Illegal AliensTo Defraud The American DreamNoDACAdeal AmericaFirst Clint Eastwood was mocked forhis 2012 RNC speech, yet the newObamaPainting confirms ObamaIS nothing but an empty chair.CLINT",1,"NoDACA,TuesdayThoughtsObama,DreamNoDACAdeal,AmericaFirst,newObamaPainting"
63,How retarded must you be to have a skank shave your legs 🤦🏻‍♀️,0,jeremykyle
64,The United States is a country founded by immigrants and dependent for its success on,0,immigration.
65,"Working on memories immigrant lives newyork theworld @ New York, New York",0,"memories,immigrant,lives,newyork,theworld"
66,"RT @user After three years of separation, a young Syrian refugee hugs his mother in Germany. The picture says it all.",0,familyreunification
67,@user @user @user That’s RIGHT you The MAN FavoritePresident BuildTheWall StopTheInvasion AmericansFirst One Flag One Country ðŸ‡ºðŸ‡¸,1,"FavoritePresident,BuildTheWall,StopTheInvasion,AmericansFirst"
68,@user BuildThatWall end chainmigration replace,1,"BuildThatWall,chainmigration,ImmigrationLottery"
69,Have you heard ‘Wavy Bassline Mix (HALLOWEEN SPECIAL)’ by The Skank Bank on,0,"SoundCloud?,np"
70,"The Dr.Ron Paul! makelibertywin yalcon2018 presidentpaul endthefed sendthemhome liberty @ Reston, Virginia",0,"makelibertywin,yalcon2018,presidentpaul,endthefed,sendthemhome,liberty"
71,@user War torn? Most so called refugees come from safe countries! Moron!fuckEU leaveEU sendthemback it's the only option to save Europe,1,"Moron!fuckEU,leaveEU,sendthemback"
72,"It appears the left is out of control in Germany as well, son murder and he is the bad guy, they are crazy for sure @user @user BuildTheWall LockThemUp EndDACA BoycottNFL BoycottNike enough already",1,"BuildTheWall,LockThemUp,EndDACA,BoycottNFL,BoycottNike"
73,"How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm?",1,"BuildTheWall,BuildThatWall,BuildTheDamnWall"
74,@user come on woman do your job right,1,WomenSuck
75,"2017ðŸ‘‰Should EU take migrants from Italy when they already sent 100,000+to roam Europe.All for @user bt “migrant sharing” a nonsense & plays into hands of Brussels, which seeks to commit EU to mass migration.Visegrad @user",0,"Italy,migration.Visegrad"
76,"BorderSecurity BorderPatrol Immigration Undocumented AliensPresidentTrump has signed an Executive Order ending CatchAndRelease. This is a huge, Catch and Release has been a...",0,"BorderSecurity,BorderPatrol,Immigration,Undocumented,AliensPresidentTrump,CatchAndRelease."
77,immigrants racist Trump,1,"immigrants,racist,Trump"
78,Stop tweeting about your boyfriend. No one gives a shit. And you're gonna break up in a month anyway,1,WomenSuck
79,@user The real @user @user bho & holder also killed @user Officer Brian Terry with his FastandFurious debacle. many others died because of your,1,"FastandFurious,negligence??buildthewallDeportThemAll,NoDACA,NoAmnesty,noworkforEWI"
80,ICE IllegalAliens Border Immigration BringBackOurBordersOakland Mayor LibbySchaaf warned everyone in...,0,"ICE,IllegalAliens,Border,Immigration,BringBackOurBordersOakland,LibbySchaaf"
81,Angel Families Hold Rally to Combat Illegal Immigration.,1,"DeportThemAll,NoAmnesty,NoDACA"
82,"While forestfires are terrifying and tragic, should the fed. gov. grant California assistance with which to fight them while it thumbs its nose at the rest of the country by protecting illegal immigrant criminals? (Hasn't Cali been denying federal jurisdiction over its land?)",0,"forestfires,California"
83,Don't fucking toy with me,1,WomenSuck
84,@user @user Agree with your idea to use the Army to build the wall! Do it!,1,"BuildThatWall,BuildTheWall"
85,Over 62 million people voted for @user b/c of policies clearly stated at dozens of rallies. BuildThatWall TaxCutReformBill EliminateRegulations ConstitutionalistsOnSCOTUS AmericaFirstTradePolicy EndGovermentWaste ReformTheVA DestroyISIS Keeping Promices,1,"BuildThatWall,TaxCutReformBill,EliminateRegulations,ConstitutionalistsOnSCOTUS,AmericaFirstTradePolicy,EndGovermentWaste,ReformTheVA,DestroyISIS,MAGA"
86,"At this time, w-organized crime/returning jihadists, it’s a matter of national security. Italy Salvini must ignore international social engineers/cultural Marxists.V4 Italy Kurz others must challenge empty threats from UN-EU migration pimps. What can they really do about it?",1,"Italy,Salvini,Marxists.V4"
87,I’m watching Kim’s Convenience on Netflix and honestly the immigrant/first gen experience in America is so universal. We really could all link up and be in this together except literally every immigrant culture’s 1 rule is “stick with your own” lol,0,1
88,"LandDegradation drives mass migration, climatechange. Degraded land could be restored by planting trees, using salt-tolerant crops, and re-flooding drained",0,"LandDegradation,migration,,climatechange.,land,trees,,wetlands.ðŸŒ²ðŸŒ³ðŸŒ´ðŸŽ‹ðŸŒ„soil,landrestoration,landlivespeace,livelihoods"
89,@user @user @user @user @user @user No One believes that Myth! Legal Workers Line Up for Restaurant Jobs After Sheriff Joe Immigration Raids via @user,0,Immigration
90,"@user Babe, I wanna thank you for having such insane anal scenes. Your scene from Slut Auditions 3 is my all-time fav !",1,3
91,"Sweden is almost like the perfect experiment on multiculturalism. Wanna let in massive amounts of people from Muslim majority and third world countries? Okay, get ready to become one yourself! P.S. We told yah so!",1,"Immigration,sweden,stopimmigration"
92,Couldn't have said it better,0,YesAllMen
93,@user Let's get ProudDeplorable Trending Now!Please RETWEET this SundayMorning Visit to help,1,"ProudDeplorable,RETWEET,SundayMorning,BuildThatWall"
94,BuildTheWallNow Before the Midterm elections @user @user @user @user,1,"BuildTheWallNow,MAGA,MakeDCListen,NoAmnesty,NoDACAdeal,MandateEverify,EndChainMigration"
95,Last I checked men HAVE THE PENIS and women DON'T. I Won't say it again but THE DICK IS ALL THAT MATTERS,1,MensRights!
96,MaleDominance let's get it trending!,1,MaleDominance
97,Ireland EU must raise concerns asap about Russian current plans to return Syrian refugees@simoncoveney @user @user @user @user @user @user @user @user @user @user @user @user,0,"Ireland,EU,Syrian,refugees@simoncoveney"
98,"Mandatory E-Verify for Welfare and Jobs, Faster Deportation for All Illegals, End DACA will fix the Problem",0,"DACA,Trump,MAGA,RedNationRising,Immigration"
99,@user its Time to Enforce the Public Charge Immigration laws! U.S Taxpayers should not be forced to take care of Immigrants and Refugees collecting Welfare while our Veterans are Homeless,1,"Immigration,Immigrants,Veterans,Trump,MAGA,SendThemBack,RedNationRising"
100,think Spain is biting off more than it can chew,0,"nomore,sendthemback"
101,Lots of Proud Veterans would lend a hand as well!,1,BuildThatWall
