,text,label,hashtags
0,"@user @user and most Islanders have different definitions of ""timely access"".",0,"irony,peipoli,peivotes"
1,"Life is precious & so are babies, mothers, & fathers. Please support the sanctity of Human Life. Think",1,"precious,SemST"
2,@user too many people are taking this to seriously,0,SemST
3,Dude i won a freeshirt from @user ! I never win anything lol,0,"freeshirt,Abort73,SemST"
4,Like ya'll can try and push your views on me anyway but I will remain,0,SemST
5,Just because it is legal doesn't make it God honoring,0,"SameSexMarriage,180themovie,AudacityMovie,SemST"
6,@user maybe that's what he wants,0,SemST
7,If being in a mother's womb isn't safe I guess neither are churches; specifically black ones,1,"WhoIsBurningBlackChurches,SemST"
8,"@user @user Nothing to do with me. It's not my choice, nor is it yours, to dictate what another woman chooses.",2,"feminism,SemST"
9,So ready for my abortion debate,0,SemST
10,@user @user @user Yup. One of the MANY reasons I changed parties.,0,SemST
11,@user Rock on girl! We all know,1,"AbortionIsMurder.,SemST"
12,it's ironic that ppl will perform lifesaving therapies on animals to preserve their lives-but have staunch views in favor of,1,SemST
13,WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs?,1,"PJNET,SemST"
14,"@user No. It's absurd to refer to healthcare that saves pregnant people's lives as ""killing.",2,SemST
15,Joining us in studio is Amos and Josh on Music and Career with Kobi Kihara,0,"Bands,SemST"
16,@user They abort millions of their possible progressives for the future.,1,"Downfall,SemST"
17,"'Cursed be anyone who takes a bribe to shed innocent blood.' And all the people shall say, 'Amen.' Deuteronomy 27:25",1,"dropsmic,SemST"
18,"Does a pregnant woman have 2 heads, 2 hearts, 4 arms, and 4 legs?",1,"pregnant,woman,prolifeyouth,prolifegen,didntthinkso,SemST"
19,"@user He's not concerned about women's health, it's all about control. Stay outta my lady parts, Mr. Patrick!",2,SemST
20,@user Pray?? You want me to PRAY that abortions and dangerous facilities remain unchecked??,1,"facepalm,SemST"
21,@user defunding PP won't mean fewer abortions. It will mean more dead women.,2,SemST
22,"How dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't.",1,"liberalism,SemST"
23,"A pregnancy, planned or unplanned, brings spouses,families & everyone closer to each other. Life is beautiful!",1,"Life,USA,SemST"
