,text,label,hashtags
0,@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,0,
1,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,1,
2,@user @user real talk do you have eyes or were they gouged out by a rapefugee?,1,
3,your girlfriend lookin at me like a groupie in this bitch!,1,
4,Hysterical woman like @user,0,
5,Me flirting- So tell me about your father...,0,
6,"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...",0,
7,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,1,
8,When cuffin season is finally over,0,
9,"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",1,
10,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",1,
11,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,0,
12,"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.",0,
13,RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,0,
14,"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.",0,
15,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,1,
16,@user @user keep calling her a bitch and a whore dude real grown up.,1,
17,"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",1,
18,"@user Unchecked Population&migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",1,
19,An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,0,
20,@user @user @user @user please spread the word  ->> using frequent flyer miles to reunite immigrant families!,0,
21,"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch",1,
22,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",0,
23,@user Not all men are animals. You Libs want muslims to come over still? Better pick a side.,0,
24,@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,1,
25,Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user,0,
26,@user Are you pussy grabbing tonight??,0,
27,"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly",0,
28,I've been called a son of a whore and a cunt today already. It's not even 1 yet,0,
29,"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’",0,
30,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?",0,
31,masturbate intensive for that whore slut,0,
32,"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries",1,
33,Lebanese Christian victim of a quarrel between Syrian refugees carrying knives & cleavers in Lebanon,0,
34,I wonder is this is where Caitlyn gets his car services 🌚,0,
35,"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",1,
36,Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases,0,
37,Because some women are stupid,1,
38,"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#",1,
39,@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA,1,
40,What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel.,1,
41,No matter what color a girl is she still a ho 😂😂,1,
42,"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks,",0,
43,"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov",0,
44,Realizing the rights of Eritrean refugees in Israel. A new article:,0,
45,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune,0,
46,@user @user @user Don't dare to tell us about Syrian refugees.,0,
47,"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive.",1,
48,This is what Trump supporters call humane smh,0,
49,MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t…,1,
50,you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹,1,
51,Don't you hate how girls just Whore around because they never got daddy's attention ?? And so they have to interfere in relationships.. hoe,1,
52,"@user Greedy, you have to talk about this tomorrow including the hysterical responses.",0,
53,@user Wow!! Never seen a woman juggle a big cock like that,1,
54,"Fuck you, you hoe I don’t want you back",1,
55,@user You are the sloppy queen of sucking cock,1,
56,World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž,0,
57,"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human right 2018:  Easy come, easy GO!!",1,
58,@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest…,1,
59,From refugee to sole survivor - How one Syrian has become shoemaker to the famous,0,
60,"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl",1,
61,"When you're sneaking in after a long, hard night of cheating and don't wanna wake your girl cause you're a good guy",0,
62,"@user sweetie, how the hell can you take “oh my god that’s a DICK?!?!?!?!” Style monologue",0,
63,Hundreds of Syrian refugees return home from Lebanon - ABC News,0,
64,"VIDEO: Immigrant activist who climbed Statue of Liberty has a new song: ""America, you motherfuckers,...",0,
65,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal...",1,
66,RT @user I bet a lot of people's therapists are dying to meet me just to see if the stories are true.,0,
