,text,label,hashtags
0,"""QT @user In the original draft of the 7th book, Remus Lupin survived the Battle of Hogwarts.",2,"HappyBirthdayRemusLupin"""
1,"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis",1,"NHL,SJ"""
2,Just said hello to Dennis Kucinich as he walked casually through campus with his hotwife. He's on 22nd st!,1,hotwife.
3,Reminder: Samsung Unveils the Galaxy Note 5 and S6 Edge+ Tomorrow Morning! - -,2,"tech,news..."
4,Vampettes we are back on the 21st place keep tweeting with the hashtag MTVStars The Vamps,2,"MTVStars,MTVStarsOf2015"
5,"""Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball.",1,"""Ichiro,GoTribe,ALDS"""
6,INFO --> Grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * Jadwal ke-1 besok !,1,INFO
7,np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,1,np
8,"""I'm going to see Paper Towns. Saturday, 22 August 2015 at 17:40 in Leigh",2,"Cineworld"""
9,days dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin,1,"days,dool"
10,@user MLBCentral David Wright crushing a dinger on his first swing since April 14th. I didn't think he would pull a Wilmer Flores!,1,MLBCentral
11,Cherie Blair is sat on our coach going to the games!,1,Olympics2012
12,My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school..,0,SlowYourRoll
13,ECHO: Sex offender is warned he may face jail over offences,0,Dorset
14,"""Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is """"""""just a rumor.""""""""",1,"F1"""
15,Who else is going to the Chris brown tour this Thursday,2,ChrisBrownonehellofanighttour
16,Your inspirational quotes on twitter/Feb never really got to me. But oh damn ur pics of them on IG have truly inspired me.,0,"idiots"""
17,The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you?,2,MDMadness
18,Ted Nugent talks to us about hunting and other stuff he\u2019s got on his mind @user this Saturday at 7am on the Great Outdoors\u002c,1,"hunting,nuge"
19,Happy birthday @user ! National Bieber Day . Now he\u2019s 18th years\u002c but he\u2019s,2,"stillkidrauhl,IndonesiaSaysHBDforJustinBieber"
20,Good luck to Girls Tennis as the take on South Torrance today on 1st round CIF!,2,GoLions2012
21,"""\""""Hey\u002c you\u2019re missing Beauty and the Beast\u002c Vampire Diaries & Grey\u2019s Anatomy right now on TV. Saturday is Merlin\"""" - @user",0,"sisterlife"""
22,Just Turned the corner into Ghetto n Roma 1st thing I saw a group of Muslims! Now that's tourism for ya. It's a sm world after all,1,"Roma,peace"
23,Be sure to look for Nash's new video with Skylynn tomorrow NashNewVideo love you @user,2,NashNewVideo
24,I noticed all the Huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted Bale for the 1st goal,0,THFC
25,'Frank Ocean' appeared on Sunday 16 at the 11th place in the Top20 of Dallas-Ft. Worth's Trends:,1,trndnl
26,"""Also may take years to figure out if the song reaching 1 or John Cena co-opting """"I Can't Feel My Face"""" as his signature tagline is stranger""",1,1
27,Yakub death may be unfortunate bt we shud respect SC's decision n not vitiate atmosphere in the name of religion,0,"YakubToHang,YakubVerdict"
28,Its the 1st video without zayn and its still perf,2,DragMeDownMusicVideo
29,Join @user now for boosted 4/1 Arsenal & Chelsea both to win in the BPL tomorrow.,2,"BPL,AFC,CFC"
30,Our paper needs to be turned into blackboard and Google by midnight on friday it needs to be less than 17 % on blackboard!!!,1,aumrsch
31,On the bright side tomorrow\u2019s CHOCOLATE DAY,2,getexcited
32,You just got to love Prince George Happy 2nd Birthday !!,2,princegeorge
33,Floyd Mayweather is heavy favourite to go 49-0 on the 12th. Bet on the fight here -,2,Boxing
34,My Friday: closet clean out\u002c furniture rearranging\u002c Al Green while taking a bath wrapping it all up with Downton Abbey.,2,lizlemon
35,"""Happy birthday, Hank Williams. In honor if the Hank turning 88, we'll play 88 Hank songs in a row tonite @user",2,"honkytonk"""
36,RAW Aaaaaand Randy Orton becomes the 3rd person ever to pin Rusev. Whoever's booking Rusev should step down or resign.,1,RAW
37,During nap time I will: watch the end of Hart of Dixie\u002c set up Activity Corner for tomorrow\u002c & study more genetics stuff.,1,hotdiggitydog
38,"""rehearsing for Nov 6 \""""""""@MlTTR0MNEY: just called Jim Leyland to congratulate New York Giants on their victorious baseball match",2,"SFGChamps,p2"""
39,Josh Hamilton hits an RBI Double to give the Rangers a 4-2 lead in the 4th!!,2,Game106
40,Social Media Week is right now! Can you tell I\u2019m excited? SMWVAN I\u2019ll be at the @user event tomorrow\u002c see you there!,2,SMWVAN
