,text,label,hashtags
0,@user Your looking more like a plant,1,"maga,walkaway"
1,@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again.,0,MAGA
2,"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions?",1,"VerifiedHate"""""
3,GREAT COMEDY THERE CNN - NEWS? NOT SO MUCH!,0,"MAGA!,LICENSEREPORTERS!"
4,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount? Seems like someone is just a propaganda pusher...or likes gloating to other MAGA's that they got screwed by Trump.,1,MAGA's
5,@user @user WHERE'S holier than thou @user Sippin wine in the shade somewhere...,0,MAGA
6,Take Take Take WalkAway from the idiot party!,1,"WalkAway,idiot,MAGA"
7,@user Conservatives Republicans are TRAITORS to,1,"Conservatives,Republicans,TRAITORS,America"
8,Labour Councillor shouting Nazi Scum .. At victims of GroomingGangs and this is going to get worse under JeremyCorbyn's socialist,0,"Labour,Councillor,GroomingGangs,JeremyCorbyn's,Britain,Muslims,Islam,Leftists,MAGA,MEGA,MCGA,MEGA,Patriots,Conservatives"
9,@user @user @user How about your outrage over this? Do something so you can be credible instead of being perceived as demagogues partisans,1,MAGA
10,The “Law and Order” president really hates law enforcement! Lol,1,MAGA
11,@user Holy moly!! If the catholic people haven't been awakened by this .....,0,"FalseProphet,Lunatic"
12,A BUNCH OF VULTURES! TIM ISNT EVEN GONE YET -WTF? HAVE YOU NO SHAME? ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE! 'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on,1,FoxNews
13,@user @user Can't stand to listen to that puke. I change the channel when he speaks. He believes his own LIES!!....They're all NUTS!! LeftWingLiberalDisease WalkAway VoteRedToSaveAmerica 🇺🇸🇺🇸MAGA 🇺🇸🇺🇸,1,"LeftWingLiberalDisease,WalkAway,VoteRedToSaveAmerica,🇺🇸🇺🇸MAGA"
14,"@user @user Much of your promise of money is not extra/new as govt took back £817 MILLION promised for new affordable"""" homes! Stop Right to Buy - we have a @user created HousingCrisis now, too little, too late!",0,HousingCrisis
15,@user @user @user @user @user @user @user @user antifa blocking the road in Salzburg,0,SalzburgSummit18
16,"USA (I feel your pain, even while I profit causing it!) liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics slop. So you destroyed Libya -ya'll never catch Bill now -he's got million dead Iraqi kids (sanctions '90's) under his belt",1,"USA,liberals,Libya,Iraqi"
17,"...The book makes Trump look good & makes the so-called Deep State"""" - 'particularly Mueller - look like a pack of partisan hacks.' Woodward Book Proves 1 Thing, Liberals Fear Trump Isn&8217;t Breaking, the Deep State Is",0,Isn&8217;t
18,Spoke with a woman in Croatia today. She said 80% of Croatia loves @user !!,0,maga
19,"@user Never Trumper uses brain for first time, wakes up to the fight MAGA community has been waging for two years.""""""""",0,MAGA
20,@user @user @user It’s funny. That comment is 💯 Illogical. WalkAway is so easy. maga is Great! MEGA is already happenin Make Earth Great Again,0,"maga,MEGA"
21,Shocking Undercover Video Exposes Communists Inside Government: “I Break Rules Every Day” - Sara A. Carter,0,"MAGA,WWG1WGA"
22,@user Liberals are full of s$t when they say they have alot of love to give! They have become the devils minions. No one will prayerfully vote for their socialist agenda!,1,s$t
23,@user Never would I trust any @user and especially @user they sold out to the @user and stuck Two fingers up to the People of the UK!!,0,"VoteLabour,GE2018NOW,WeAreCorbyn,UnitedWeStand"
24,Liberals grasp at unproven straws ...,1,"Liberals,NotPlastic"
