,text,label,hashtags
0,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,0,
1,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,1,
2,@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,0,
3,@user @user She is great. Hi Fiona!,0,
4,@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,1,
5,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",0,
6,@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,0,
7,@user Here's a link to my channel with a plethora of topics to peruse:,0,
8,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches & throwing gas on the flames.,1,
9,@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,0,
10,@user @user Lmfaoooooo,0,
11,@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,0,
12,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,0,
13,@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,1,
14,"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",1,
15,@user @user You mean the way Hillary re-victimized all of Bills accusers?,0,
16,@user You are so fragile. It must be hard to live that way.,0,
17,@user All you do is lie. All congress does us lie.  MAGA.,1,
18,@user Freudian slip.,0,
19,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,1,
20,@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,1,
21,@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,1,
22,@user He is so underrated and I love how pure he is as a person,0,
23,@user Haha we set then 😂,0,
24,@user he is a psychic ain’t he,0,
25,@user I was think she jisoo but I’m Focused I found she is taeyoun,1,
26,@user I am stunned that you are giving this guy airtime. Stunned.,0,
27,@user She Wants Gun Control? Figures,0,
28,@user @user @user Didn't see him matching with antifa tbh,0,
29,@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,0,
30,@user Holy shit I love her???,1,
31,@user @user @user Can you let him know?,0,
32,@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,0,
33,@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,0,
34,@user I can’t cuz that nigga retarded smh,1,
35,9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,1,
36,@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,0,
37,@user Berkeley Antifa do not agree with you,0,
38,@user He is quite good at faking. Must have done it numerous times,1,
39,@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC,0,
40,@user @user What new gun control laws would you like to see passed and what would they accomplish?,0,
41,@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,1,
42,@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts.,0,
43,@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile...,1,
44,@user Get shit poppin,1,
45,@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,1,
